Name;Country;Lineage;Drug;Collected_Date
ERR6397155;Ethiopia;lineage 3;Mono;2018
ERR2706950;Congo;lineage 5;MDR;2006
SRR12882020;Tanzania;lineage 3;Sensitive;2014
ERR2706910;Congo;lineage 5;MDR;2005
ERR2706911;Congo;lineage 4;Mono;2005
ERR2706913;Congo;lineage 4;MDR;2005
ERR2706914;Congo;lineage 5;MDR;2005
ERR2706915;Congo;lineage 4;MDR;2005
ERR2706916;Congo;lineage 4;Mono;2005
ERR2706918;Congo;lineage 4;MDR;2005
ERR2706919;Congo;lineage 4;MDR;2006
ERR2706920;Congo;lineage 4;MDR;2006
ERR2706921;Congo;lineage 4;MDR;2006
ERR2706922;Congo;lineage 4;MDR;2006
ERR2706924;Congo;lineage 4;MDR;2006
ERR2706925;Congo;lineage 4;MDR;2006
ERR2706926;Congo;lineage 4;MDR;2006
ERR2706928;Congo;lineage 5;MDR;2006
ERR2706929;Congo;lineage 4;MDR;2006
ERR2706930;Congo;lineage 5;MDR;2006
ERR2706932;Congo;lineage 4;MDR;2006
ERR2706933;Congo;lineage 4;Mono;2006
ERR2706934;Congo;lineage 4;MDR;2006
ERR2706936;Congo;lineage 4;Mono;2006
ERR2706937;Congo;lineage 4;MDR;2006
ERR2706938;Congo;lineage 4;Mono;2006
ERR2706939;Congo;lineage 4;Mono;2006
ERR2706940;Congo;lineage 4;MDR;2006
ERR2706941;Congo;lineage 4;Mono;2006
ERR2706942;Congo;lineage 4;MDR;2006
ERR2706945;Congo;lineage 5;MDR;2006
ERR2706946;Congo;lineage 4;MDR;2006
ERR2706947;Congo;lineage 4;MDR;2006
ERR2706948;Congo;lineage 4;Mono;2006
ERR2706949;Congo;lineage 4;MDR;2006
ERR2706951;Congo;lineage 4;MDR;2006
ERR2706952;Congo;lineage 4;MDR;2006
ERR2706956;Congo;lineage 4;MDR;2006
ERR2706957;Congo;lineage 4;MDR;2006
ERR2706958;Congo;lineage 4;MDR;2006
ERR2706959;Congo;lineage 4;MDR;2006
ERR2706960;Congo;lineage 4;MDR;2006
ERR2706962;Congo;lineage 4;Mono;2006
ERR2706963;Congo;lineage 4;MDR;2006
ERR2706964;Congo;lineage 4;MDR;2006
